Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:54, -7, 0, 7, 0, 4, 95, 45, 13, 8, 9
Flight2, DOMESTIC, 04:20, -8, 0, 8, 0, 4, 122, 31, 10, 9, 1
Flight3, DOMESTIC, 04:18, -6, 0, 6, 0, 5, 108, 44, 21, 9, 2
Flight4, DOMESTIC, 04:28, -5, 0, 5, 0, 3, 136, 31, 13, 2, 1
Flight5, DOMESTIC, 04:45, -5, 0, 5, 0, 5, 88, 44, 24, 5, 7
Flight6, DOMESTIC, 04:26, -6, 0, 6, 0, 1, 138, 47, 15, 6, 3
Flight7, DOMESTIC, 04:45, -6, 0, 6, 0, 1, 81, 43, 5, 7, 9
Flight8, DOMESTIC, 04:10, -6, 0, 6, 0, 4, 60, 49, 8, 3, 4
Flight9, DOMESTIC, 04:23, -2, 0, 2, 0, 1, 101, 48, 23, 6, 5
Flight10, DOMESTIC, 04:38, -10, 0, 10, 0, 8, 93, 29, 13, 8, 2
Flight11, DOMESTIC, 04:37, -8, 0, 8, 0, 3, 100, 29, 19, 1, 1
Flight12, DOMESTIC, 04:18, -4, 0, 4, 0, 4, 84, 38, 22, 9, 1
Flight13, DOMESTIC, 04:55, -1, 0, 1, 0, 4, 133, 35, 11, 6, 9
Flight14, DOMESTIC, 04:31, -9, 0, 9, 0, 1, 104, 27, 8, 3, 2
Flight15, DOMESTIC, 04:50, -2, 0, 2, 0, 6, 56, 29, 6, 6, 5
Flight16, DOMESTIC, 04:48, -6, 0, 6, 0, 1, 114, 28, 5, 2, 8
Flight17, DOMESTIC, 04:03, -10, 0, 10, 0, 2, 59, 38, 5, 9, 6
Flight18, DOMESTIC, 04:58, -2, 0, 2, 0, 4, 59, 32, 16, 5, 2
Flight19, DOMESTIC, 04:28, -8, 0, 8, 0, 8, 109, 44, 18, 7, 3
Flight20, DOMESTIC, 04:03, -8, 0, 8, 0, 9, 92, 29, 17, 8, 3
Flight21, DOMESTIC, 04:29, -9, 0, 9, 0, 2, 118, 29, 22, 8, 6
Flight22, DOMESTIC, 04:18, -4, 0, 4, 0, 4, 80, 25, 12, 1, 2
Flight23, DOMESTIC, 04:57, -10, 0, 10, 0, 1, 99, 29, 16, 8, 3
Flight24, DOMESTIC, 04:57, -10, 0, 10, 0, 6, 131, 37, 23, 5, 4
Flight25, DOMESTIC, 04:46, -9, 0, 9, 0, 6, 119, 31, 8, 6, 9
Flight26, DOMESTIC, 04:38, -1, 0, 1, 0, 3, 133, 44, 14, 5, 7
Flight27, DOMESTIC, 04:11, -7, 0, 7, 0, 1, 59, 37, 7, 9, 3
Flight28, DOMESTIC, 04:35, -2, 0, 2, 0, 4, 92, 36, 24, 1, 5
Flight29, DOMESTIC, 04:49, -3, 0, 3, 0, 7, 74, 28, 23, 9, 5
Flight30, DOMESTIC, 04:44, -5, 0, 5, 0, 7, 93, 30, 6, 8, 9
