TimeWindow, Flight, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4, TOTAL
240, Flight1, 2, 109, 31, 10, 6, 5, 163
240, Flight2, 7, 116, 36, 19, 6, 9, 193
240, Flight3, 3, 133, 30, 22, 9, 9, 206
240, Flight4, 9, 58, 32, 10, 8, 9, 126
240, Flight5, 8, 139, 46, 16, 6, 7, 222
240, Flight6, 6, 94, 32, 22, 4, 3, 161
240, Flight7, 4, 124, 34, 10, 9, 7, 188
240, Flight8, 9, 97, 49, 8, 1, 9, 173
240, Flight9, 5, 71, 47, 24, 7, 7, 161
240, Flight10, 6, 111, 48, 19, 5, 9, 198
240, Flight11, 7, 147, 25, 9, 5, 3, 196
240, Flight12, 6, 99, 45, 21, 5, 3, 179
240, Flight13, 4, 54, 42, 10, 2, 8, 120
240, Flight14, 7, 130, 43, 21, 6, 1, 208
240, Flight15, 4, 50, 45, 9, 1, 7, 116
240, Flight16, 9, 58, 42, 23, 9, 3, 144
240, Flight17, 3, 146, 47, 24, 4, 1, 225
240, Flight18, 5, 65, 45, 22, 1, 9, 147
240, Flight19, 5, 118, 45, 21, 2, 1, 192
240, Flight20, 2, 130, 45, 8, 2, 5, 192
240, Flight21, 7, 137, 35, 18, 9, 5, 211
240, Flight22, 8, 62, 30, 12, 8, 3, 123
240, Flight23, 7, 99, 46, 10, 7, 1, 170
240, Flight24, 3, 73, 32, 9, 8, 4, 129
240, Flight25, 8, 143, 30, 24, 4, 9, 218
240, Flight26, 5, 104, 30, 9, 8, 3, 159
240, Flight27, 8, 61, 46, 9, 8, 5, 137
240, Flight28, 1, 129, 49, 20, 4, 5, 208
240, Flight29, 8, 86, 37, 13, 3, 5, 152
240, Flight30, 2, 74, 25, 8, 3, 9, 121
240, Flight31, 8, 70, 41, 15, 1, 3, 138
240, Flight32, 8, 106, 29, 19, 6, 6, 174
240, Flight33, 1, 77, 34, 19, 7, 4, 142
240, Flight34, 1, 130, 41, 9, 7, 1, 189
240, Flight35, 8, 99, 30, 6, 6, 6, 155
240, Flight36, 5, 60, 35, 24, 2, 3, 129
240, Flight37, 5, 110, 31, 12, 5, 8, 171
240, Flight38, 9, 97, 34, 6, 4, 7, 157
240, Flight39, 1, 129, 42, 5, 1, 8, 186
240, Flight40, 4, 71, 43, 19, 7, 8, 152
240, Flight41, 5, 117, 27, 17, 7, 9, 182
240, Flight42, 1, 148, 49, 6, 2, 3, 209
240, Flight43, 2, 113, 36, 18, 2, 2, 173
240, Flight44, 1, 79, 27, 8, 8, 7, 130
240, Flight45, 5, 78, 36, 6, 9, 6, 140
240, Flight46, 8, 65, 24, 14, 4, 3, 118
240, Flight47, 4, 109, 25, 24, 1, 9, 172
240, Flight48, 8, 109, 24, 22, 9, 4, 176
240, Flight49, 8, 104, 35, 23, 7, 1, 178
240, Flight50, 4, 57, 42, 19, 7, 7, 136
240, Flight51, 1, 130, 42, 21, 9, 1, 204
240, Flight52, 4, 59, 41, 12, 3, 8, 127
240, Flight53, 2, 133, 26, 22, 8, 8, 199
240, Flight54, 6, 128, 32, 11, 4, 2, 183
240, Flight55, 2, 84, 35, 18, 3, 6, 148
240, Flight56, 6, 54, 35, 5, 3, 5, 108
240, Flight57, 1, 93, 49, 19, 8, 7, 177
240, Flight58, 8, 72, 42, 10, 1, 3, 136
240, Flight59, 8, 97, 41, 21, 2, 3, 172
